"Abbreviation","title","publisher","society","price","pages","charpp","citations","foundingyear","subs","field"
"PFR","Public Finance Review","Sage","no",394,636,2204,138,1973,268,"Public Finance"
"JBES","Journal of Business & Economic Statistics","Am Stat Assn","yes",90,510,6360,988,1983,190,"Business"
"JoIntEc","Journal of International Economics","Elsevier","no",923,1299,2898,838,1971,211,"International"
"TD","Theory and Decision","Kluwer","no",595,607,2072,237,1970,83,"Theory"
"JoCR","Journal of Consumer Research","Univ of Chicago Press","no",90,439,5336,2762,1974,536,"Consumer Economics"
"JoRU","Journal of Financial and Quantitative Analysis","Univ Wash Press","no",95,500,3314,388,1966,394,"Finance"
"SJoE","Scandinavian Journal of Economics","Blackwell","no",296,688,2666,339,1898,98,"General"
"MngtSc","Management Science","Inst for OR and MS","no",334,1175,4232,2022,1954,558,"Management Science"
"JWE","Japan and the World Economy","Elsevier","no",355,577,3443,56,1988,27,"Area Studies"
"JoDS","Journal of Development Studies","Frank Cass","no",357,500,2604,388,1964,227,"Development"
"JoUE","Journal of Urban Economics","Academic Press","no",640,1058,2666,787,1974,230,"Urban and Regional"
"JoPopEc","Journal of Policy Modeling","Elsevier","no",473,907,2160,164,1979,67,"Specialized"
"EE","Ecological Economics","Elsevier","no",1170,1990,4128,499,1989,40,"Natural Resources"
"JoBF","Journal of Banking and Finance","Elsevier","no",1539,1911,2516,602,1977,172,"Finance"
"ES","Economy and Society","Routledge","no",224,640,2970,488,1971,97,"General"
"JoE&MS","Journal of Economics & Management Strategy","MIT Press","no",135,602,2394,42,1992,37,"Management Science"
"JoCE","Journal of Comparative Economics","Academic Press","no",410,803,2442,245,1977,185,"Area Studies"
"IJoIO","International Journal of Industrial Organization","Elsevier","no",799,1230,3124,313,1983,81,"Industrial Organization"
"JoMonEc","Journal of Monetary Economics","Elsevier","no",1010,1346,3174,1860,1975,186,"Macroeconomics"
"JoRI","Journal of Risk and Insurance","Am. Risk & Ins. Assn","yes",90,720,2924,193,1964,263,"Insurance"
"IER","International Economic Review","Blackwell","no",145,969,3082,1113,1960,284,"General"
"SJoPE","Scottish Journal of Political Economy","Blackwell","no",203,596,3036,151,1953,89,"General"
"JoRaU","Journal of Risk and Uncertainty","Kluwer","no",481,595,3476,383,1990,47,"Insurance"
"SCW","Social Choice & Welfare","Springer","no",474,674,2990,239,1984,37,"Public Finance"
"CJoE","Cambridge Journal of Economics","Oxford Univ Press","no",272,814,3545,351,1976,163,"General"
"CER","China Economic Review","Elsevier","no",242,167,3619,47,1989,16,"Area Studies"
"AEJ","Atlantic Economic Journal","Intnl Atlantic Ec. Soc.","no",171,447,3139,44,1972,148,"General"
"HE","Health Economics","Wiley","no",575,736,4264,544,1992,29,"Health"
"Ky","Kyklos","Helbing & Lichtenhahn","no",270,618,2760,254,1948,186,"General"
"DC","Development and Change","Blackwell","no",318,888,2623,154,1970,83,"Development"
"RoIW","Review of Income and Wealth","Int Assn for Res in I & W","yes",130,585,3312,189,1945,120,"Public Finance"
"JoFi","Journal of Finance","Am. Finance Assn","yes",226,2272,3036,3791,1945,799,"Finance"
"JoPA","Journal of Productivity Analysis","Kluwer","no",424,567,3432,188,1992,25,"General"
"PDR","Population & Development Review","Population Council","no",36,910,2904,445,1975,218,"Demography"
"JoEI","Journal of Economic Issues","Assn Ev. Economics","yes",45,1003,2870,355,1967,462,"Public Finance"
"JoFM","Journal of Futures Markets","Wiley","no",1140,990,2460,302,1981,152,"Finance"
"JoIMF","Journal of International Money and Finance","Elsevier","no",743,940,2660,427,1981,120,"International"
"JoPKE","Journal of Post-Keynesian Economics","M.E Sharpe","no",186,550,2360,170,1978,225,"General"
"JoEcEd","Journal of Economic Education","Heldref","no",82,426,2990,112,1970,386,"Specialized"
"RSUE","Regional Science & Urban Economics","Elsevier","no",614,802,2967,370,1971,99,"Urban and Regional"
"DvE","Developing Economies","Inst of Devel Econ","no",80,539,3345,76,1963,87,"Development"
"AER","American Economic Review","Am Ec Assn","yes",47,1867,3900,8999,1911,1098,"General"
"JoJIE","Journal of the Japanese & International Economies","Academic Press","no",355,451,2541,119,1986,50,"Area Studies"
"JoIndEc","Journal of Industrial Economics","Blackwell","no",160,476,2684,497,1953,283,"Industrial Organization"
"JoDE","Journal of Development Economics","Elsevier","no",1146,1110,2816,707,1974,142,"Development"
"EDCC","Economic Development & Cultural Change","Univ of Chicago Press","no",128,889,2700,597,1952,515,"Development"
"NTJ","National Tax Journal","National Tax Assn.","no",90,785,2940,502,1948,552,"Public Finance"
"JoPE","Journal of Population Economics","Springer","no",411,640,3264,69,1987,27,"Demography"
"MEPiTE","MOCT-MOST Economic Policy in Transitional Economics","Kluwer","no",276,520,3234,22,1860,2,"Area Studies"
"HoPE","History of Political Economy","Duke Univ Press","no",132,767,2280,183,1969,288,"Economic History"
"JoCMS","Journal of Common Market Studies","Blackwell","no",506,710,2747,299,1962,214,"Area Studies"
"DS","Decision Sciences","Georgia State Univ","no",82,1067,3124,495,1970,322,"Management Science"
"EDE","Environment and Development Economics","Cambridge Univ Pres","no",90,602,3185,24,1895,14,"Development"
"JoLS","Journal of Legal Studies","Univ of Chicago Press","no",45,530,2625,700,1972,238,"Law and Economics"
"RoSE","Review of Social Economy","Routledge","no",172,578,2720,66,1943,203,"General"
"LanEc","Land Economics","Univ of Wisconsin Press","no",95,580,3672,730,1925,437,"Urban and Regional"
"JoEMS","International Journal of Finance & Economics","Springer","no",375,351,4025,40,1868,17,"Finance"
"RP","Research Policy","Elsevier","no",1234,781,4320,922,1972,34,"Business"
"REE","Real Estate Economics","MIT","no",165,749,2496,35,1973,125,"Specialized"
"JoET","Journal of Economic Theory","Academic Press","no",1400,2000,2684,2514,1969,165,"Theory"
"JEL","Journal of Economic Literature","Am Ec Assn","yes",47,2632,3848,1530,1910,972,"General"
"EHR","Economic History Review","Blackwell","no",163,846,3570,545,1947,390,"Economic History"
"JoWT","Journal of World Trade","Kluwer","no",475,1138,3088,134,1967,135,"International"
"EoP","Economics of Planning","Kluwer","no",226,243,3010,28,1987,46,"Area Studies"
"WD","World Development","Elsevier","no",1450,1145,5480,1408,1973,160,"Development"
"PiRS","Papers in Regional Science","Springer","no",191,442,2925,68,1922,59,"Urban and Regional"
"QRoEF","Quarterly Review of Economics & Finance","Elsevier","no",317,931,3036,87,1961,323,"Finance"
"MaDE","Managerial and Decision Econ","Wiley","no",905,292,4472,37,1980,62,"Management Science"
"IEP","Information Economics and Policy","Elsevier","no",371,442,2924,50,1984,30,"Specialized"
"JoAE","Journal of Agricultural Economics","Agric. Econ. Society","yes",96,277,4218,220,1948,43,"Agricultural Economics"
"RoES","Review of Economic Studies","Blackwell","no",180,761,3626,2411,1933,325,"General"
"MnchSc","Manchester School","Blackwell","no",336,618,2772,140,1930,57,"General"
"CE","Computational Economics","Kluwer","no",443,567,2924,22,1880,17,"Specialized"
"AgE","Agricultural Economics","Elsevier","no",558,610,4032,87,1986,24,"Agricultural Economics"
"PC","Public Choice","Kluwer","no",1000,1600,2583,871,1966,171,"Public Finance"
"JoHR","Journal of Human Resources","Univ of Wisconsin Press","no",113,837,3312,1113,1966,522,"Labor"
"JoPubEc","Journal of Public Economics","Elsevier","no",1431,1880,2924,1437,1972,141,"Public Finance"
"Ecnmc","Economica","Blackwell","no",122,565,3120,825,1933,313,"General"
"DE","De Economist","Kluwer","no",223,579,2594,62,1852,25,"General"
"ER","Econometric Reviews","Dekker","no",650,448,2418,85,1981,49,"Econometrics"
"JoA&E","Journal of Accounting & Economics","Elsevier","no",710,1112,2945,406,1979,154,"Interdisciplinary"
